n	moy	max
1	8.6	9
2	9.6	12
3	9.9	12
4	9.2	10
5	10.2	11
6	10.8	13
7	10.5	13
8	10.8	13
9	9.6	12
10	9.5	11
11	9.4	11
12	9.6	10
13	9.2	12
14	8.625	12
