n	moy	max
360	40.8296	60
361	40.422	60
362	39.7017	60
363	39.4291	58
364	38.4875	56
365	36.5781	56
366	37.4679	56
367	40.7609	58
368	42.3595	58
369	41.7247	57
370	44.8708	60
371	44.8807	60
372	43.8241	61
373	43.8661	59
374	44.5324	59
375	41.7643	58
376	42.2335	57
377	40.8587	54
378	41.6403	55
379	41.4103	60
380	42.2714	60
381	42.613	60
382	43.0977	58
383	43.5407	58
384	41.7801	57
385	41.7099	55
386	38.9863	57
387	39.5713	56
388	38.9011	53
389	39.2338	60
390	41.7507	60
391	40.9112	56
392	40.7977	56
393	40.3361	58
394	40.1514	57
395	39.2195	55
396	41.7802	61
397	39.2526	58
398	37.8041	54
399	36.8758	56
400	38.6287	58
401	39.4143	58
402	38.0711	58
403	36.1906	55
404	38.9088	62
405	40.5603	62
406	39.2815	58
407	38.5731	58
408	40.8589	60
409	38.1933	60
410	41.0958	60
411	39.5746	60
412	37.542	58
413	38.3291	60
414	36.2608	58
415	38.2925	54
416	37.6272	55
417	36.7055	56
418	35.8849	63
419	35.4944	60
420	34.5993	62
421	37.1797	59
422	35.2192	60
423	36.1347	56
424	36.6439	55
425	36.1669	58
426	34.7506	56
427	34.5728	57
428	35.8644	63
429	34.2808	59
430	34.1365	59
431	35.8282	57
432	40.7562	54
433	41.521	54
434	40.8379	54
435	40.3729	55
436	39.5307	54
437	38.6125	53
438	38.7585	54
439	39.9226	57
440	38.3827	55
441	38.1927	57
442	39.0735	57
443	38.6313	58
444	37.2262	55
445	35.5793	56
446	37.4016	57
447	40.0924	57
448	38.322	54
449	38.2728	53
450	38.1024	57
451	40.4301	60
452	41.379	58
453	41.0627	56
454	41.1059	56
455	40.0452	58
456	41.8969	60
457	40.8682	56
458	41.1017	56
459	39.538	58
460	40.0616	55
461	38.9388	56
462	38.3186	58
463	39.7895	57
464	40.5153	56
465	39.5589	54
466	38.083	56
467	36.8205	55
468	38.2568	60
469	40.0768	57
470	40.3333	60
471	39.1932	58
472	37.8347	56
473	36.8475	60
474	37.3681	57
475	40.0746	57
476	38.4522	60
477	40.0022	60
478	38.5269	60
479	38.0677	60
480	39.3366	62
481	36.9115	56
482	35.9945	53
483	37.8145	57
484	36.6179	58
485	36.6645	56
486	36.6543	56
487	37.3989	55
488	40.074	54
489	35.9614	54
490	38.7415	56
491	38.5805	54
492	36.4979	56
493	34.1458	55
494	37.2646	54
495	37.2494	53
496	38.285	55
497	38.7002	55
498	36.9103	57
499	37.6719	55
500	36.4537	58
501	39.1201	56
502	36.5464	55
503	35.8065	57
504	36.1166	57
505	38.4295	54
506	37.6244	60
507	40.4973	60
508	38.8688	60
509	38.8526	60
510	38.1584	58
511	38.2937	56
512	38.73	58
513	39.5038	60
514	38.4859	60
515	39.0489	60
516	37.4961	58
517	37.4844	58
518	39.3264	60
519	37.8404	58
520	40.7435	60
521	41.1946	60
522	39.2991	60
523	39.1485	60
524	38.8558	58
525	37.6599	58
526	37.2301	58
527	37.0348	58
528	37.7898	60
529	36.8765	62
530	37.2078	60
531	39.2175	62
532	37.4111	55
533	35.6943	55
534	34.9163	54
535	35.7362	54
536	35.2595	54
537	35.1532	54
