n	moy	max
1	17.76	21
2	18.32	22
3	17.93	21
4	19.81	23
5	19.36	22
6	19.46	22
7	18.83	21
8	18.52	22
9	18.17	22
10	17.3	21
11	16.53	21
12	15.56	19
13	15.89	21
14	15.67	19
15	15.77	19
16	14.11	17
17	14.85	18
18	13.87	18
19	13.7	17
20	16.11	19
21	18.21	21
22	17.75	20
23	16.13	19
24	15.07	19
25	16.19	21
26	14.07	17
27	15.89	19
28	16.05	19
29	17.65	20
30	17.57	21
31	17.43	21
32	16.86	20
33	16.48	20
34	15.33	19
35	14.43	18
36	14.91	20
37	14.92	19
38	13.84	17
39	13.52	17
40	13.29	20
41	13.73	19
42	13.14	17
43	16.35	18
44	15.32	18
45	15.58	19
46	14.86	18
47	15.04	17
48	15.76	21
49	16.72	20
50	16.72	20
51	15.48	19
52	16.23	20
53	14.57	19
54	14.6	18
55	15.3	19
56	14.81	18
57	13.41	17
58	12.22	14
59	12.71	16
60	11.71	15
61	13.35	16
62	13.56	17
63	14.23	17
64	13.1	17
65	14.33	18
66	16.13	17
67	15.69	18
68	14.34	18
69	15.48	20
70	14.61	19
71	14.68	17
72	13.34	17
73	13.53	17
74	12.64	14
75	12.16	15
76	12.85	15
77	13.47	17
78	14.23	19
79	14.43	17
80	14.1	18
81	13.1667	17
